GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,12,89,2,11,3,20,2,7,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,49,192,7,6,16,57,7,7,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem.service,RecurrentUser,35,88,3,9,11,22,3,8,1,4
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,4,61,3,5,0,20,3,11,0,10
parking-system,com.parkit.parkingsystem.model,Ticket,3,57,0,0,1,24,1,13,1,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,34,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,8,0,0,0,2,0,2,0,2,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,39,227,5,7,10,59,6,6,1,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,28,93,2,2,7,25,5,4,3,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,22,2,7,2,4,2
